model,Accuracy
claude-opus-4-6,56.70%
claude-sonnet-4-6-cache,53.80%
claude-opus-4-5,51.40%
gpt-5.4-xhigh,50.00%
gpt-5.4-high,49.70%
gemini-3.1-pro-preview,46.70%
glm-5,46.80%
kimi-k2.5,44%
gemini-3-flash-preview,38.60%
gpt-5.4-mini-high,37.90%
gpt-5.4-nano-xhigh,37.40%
gpt-5.1,37.00%
gpt-5.4-nano-high,36.10%
gpt-5.4-mini-xhigh,35.30%
deepseek-v3.2,33.10%
grok-4-2,26.30%
gemini-3.1-flash-lite,24.40%
o3,24.40%
gemini-2.5-pro,18.10%
gpt-5-mini,15.90%
grok-4,15.00%
grok-4-fast-reasoning,12.00%
grok-4-1-fast,10.70%
gemini-2.5-flash,7.10%
gpt-5-nano,7.10%
o3-mini,3.10%
gemini-2.5-flash-lite,2.10%
